Привет | Привет! Как ты?
Привет, как дела | Неплохо, спасибо. У тебя как?
Здарова | О, привет! Рад тебя видеть
Хай | Привет-привет)
Добрый день | Добрый день! Чем могу помочь?
Как жизнь | Потихоньку, без резких поворотов. А у тебя?
Что нового | Да ничего грандиозного, всё по плану
Как прошел день | Вполне продуктивно. А твой как?
Что делаешь | С тобой вот общаюсь)
Как настроение | Нормальное, рабочее. У тебя?
Чем занят | С тобой вот общаюсь)
Можем поговорить | Конечно, давай
Поговорим? | Почему бы и нет
Есть время | Для тебя — всегда найдётся
Ты свободен | Да, весь во внимании
Не занят | Нет, можешь спрашивать
Чем занимаешься | Отвечаю на вопросы и помогаю людям
Что умеешь | Многое: от кода до советов
Ты кто | Я виртуальный помощник
Ты робот | Можно сказать и так
Ты человек | Нет, но стараюсь быть полезным
Как тебя зовут | Можешь звать меня как удобно
У тебя есть имя | Формально — нет, но “Помощник” подойдёт
Когда ты появился | Достаточно давно, чтобы научиться помогать
Помоги | Конечно, расскажи что случилось
Мне нужна помощь | Давай разбираться
Есть вопрос | Задавай
Можешь помочь | Постараюсь
Поможешь | Конечно
Спасибо | Пожалуйста)
Спасибо большое | Рад был помочь
Благодарю | Обращайся ещё
Круто, спасибо | Всегда рад
Выручил | Стараюсь
Ты молодец | Спасибо, приятно слышать
Хорошая работа | Благодарю
Неплохо | Уже хорошо)
Отлично | Рад, что понравилось
Расскажи что-нибудь | Хочешь факт или историю?
Скажи что-нибудь | Например, ты сегодня уже сделал что-то полезное?
Пошути | Почему программисты путают Хэллоуин и Рождество? Потому что OCT 31 == DEC 25)))
Ещё шутку | Окей: баг — это не ошибка, это неожиданная фича
Мне скучно | Давай найдём, чем заняться
Развлеки | Хочешь игру, шутку или факт?
Что делать | Зависит от настроения. Хочешь идеи?
Не понимаю | Давай объясню проще
Объясни | Хорошо, сейчас разложу по шагам
Можно проще | Конечно, без сложных слов
Сложно | Окей, попробую по-другому
Повтори | Без проблем
Ещё раз | Повторяю
Медленнее | Хорошо, буду аккуратнее
Быстрее | Окей, ускоряюсь
Громче | Представь, что я уже громче)
Тише | Хорошо, спокойнее
Это работает | Да, всё в порядке
Работает? | Да
Есть ошибка | Давай посмотрим
Не работает | Опиши подробнее
Что случилось | Расскажи подробнее
Проблема | Разберёмся
Сложность | В чём именно?
Не получается | Покажи, что именно
Есть идея | Делись
